id,letter_category,doc_type,register,language,source,title,content,tags,rating
STRUCT001,request,structure,formal,si,curated,ඉල්ලීමේ ලිපි ආකෘතිය,"[දිනය]

[ලබන්නාගේ නම]
[ලබන්නාගේ තනතුර]
[ආයතනයේ නම]
[ලිපිනය]

ගරු මහත්මයාණෙනි,

මාතෘකාව: [මාතෘකාව]

ඉහත කරුණ සම්බන්ධයෙන් ඔබතුමාගේ අවධානය යොමු කරමි.

[ඉල්ලීමේ හේතුව පැහැදිලි කරන ඡේදය]

[අමතර විස්තර සහ සාධාරණීකරණය]

එබැවින්, [නිශ්චිත ඉල්ලීම] කාරුණිකව ඉල්ලා සිටිමි.

ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.

ගෞරවයෙන්,

[යවන්නාගේ නම]
[තනතුර/තත්වය]
[සම්බන්ධතා විස්තර]",structure,
STRUCT002,complaint,structure,formal,si,curated,පැමිණිලි ලිපි ආකෘතිය,"[දිනය]

[ලබන්නාගේ නම]
[ලබන්නාගේ තනතුර]
[ආයතනයේ නම]
[ලිපිනය]

ගරු මහත්මයාණෙනි,

මාතෘකාව: [පැමිණිල්ලේ මාතෘකාව]

[දිනය]දින සිදු වූ [සිද්ධිය] සම්බන්ධයෙන් මෙම පැමිණිල්ල ඉදිරිපත් කරමි.

[සිද්ධියේ විස්තර - කුමක් සිදු වූවාද, කවදාද, කොහේද]

[මෙයින් ඇති වූ අපහසුතා/හානිය]

[ඉල්ලා සිටින ක්‍රියාමාර්ගය]

මෙම කාරණය කඩිනමින් විසඳනු ඇතැයි බලාපොරොත්තු වෙමි.

ගෞරවයෙන්,

[යවන්නාගේ නම]
[සම්බන්ධතා විස්තර]",structure,
STRUCT003,application,structure,formal,si,curated,අයදුම්පත් ලිපි ආකෘතිය,"[දිනය]

[ලබන්නාගේ නම]
[ලබන්නාගේ තනතුර]
[ආයතනයේ නම]
[ලිපිනය]

ගරු මහත්මයාණෙනි,

මාතෘකාව: [තනතුර/වැඩසටහන] සඳහා අයදුම්පත

ඉහත සඳහන් [තනතුර/වැඩසටහන] සඳහා අයදුම් කරන බව කාරුණිකව දන්වා සිටිමි.

[ඔබේ සුදුසුකම් සහ අත්දැකීම් සාරාංශය]

[මෙම තනතුරට/වැඩසටහනට ඔබ සුදුසු වන්නේ ඇයි]

[අමතර තොරතුරු - ලබාගත හැකි දිනය, ආශ්‍රිත ලේඛන ලැයිස්තුව]

ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.

ගෞරවයෙන්,

[යවන්නාගේ නම]
[සුදුසුකම්]
[සම්බන්ධතා විස්තර]",structure,
REQ001,request,example,formal,si,synthetic,නිවාඩු ඉල්ලීමේ ලිපිය,"2026 ජනවාරි 15

කළමනාකරු මහතා,
ABC සමාගම,
කොළඹ 10.

ගරු මහත්මයාණෙනි,

මාතෘකාව: වාර්ෂික නිවාඩු ඉල්ලීම - 2026 ජනවාරි 20 සිට 25 දක්වා

ඉහත කරුණ සම්බන්ධයෙන් ඔබතුමාගේ අවධානය යොමු කරමි.

මාගේ පවුලේ වැදගත් කටයුත්තක් වෙනුවෙන් 2026 ජනවාරි 20 වන දින සිට 25 වන දින දක්වා (දින 6ක්) වාර්ෂික නිවාඩු ලබා දෙන මෙන් කාරුණිකව ඉල්ලා සිටිමි.

මාගේ රාජකාරී කටයුතු අවසන් කර, අදාළ වගකීම් සේවක නම් මහතාට භාර දී ඇති බව දන්වා සිටිමි.

ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.

ගෞරවයෙන්,

සේවක නම
ජ්‍යෙෂ්ඨ සේවක
දුරකථන: 077-1234567","leave,annual,employee",4.5
REQ002,request,example,formal,si,synthetic,මාරු ඉල්ලීමේ ලිපිය,"2026 ජනවාරි 10

අධ්‍යක්ෂ මහතා,
මානව සම්පත් දෙපාර්තමේන්තුව,
XYZ ආයතනය,
කොළඹ 07.

ගරු මහත්මයාණෙනි,

මාතෘකාව: ශාඛා මාරුවීම් ඉල්ලීම

ඉහත කරුණ සම්බන්ධයෙන් ඔබතුමාගේ අවධානය යොමු කරමි.

මම දැනට කොළඹ ප්‍රධාන ශාඛාවේ සේවය කරන අතර, මාගේ පවුලේ සෞඛ්‍ය හේතූන් මත ගම්පහ ශාඛාවට මාරු වීමට කාරුණිකව ඉල්ලා සිටිමි.

මාගේ මව්මත්තී වයෝවෘද්ධ තත්වයේ සිටින අතර, ඇගේ සෞඛ්‍ය තත්වය නිසා මට ආසන්නව සිටීම අවශ්‍ය වී ඇත. ගම්පහ ශාඛාවට මාරු වීමෙන් මට රාජකාරී කටයුතු සමඟ පවුල් වගකීම් ද ඉටු කිරීමට හැකි වනු ඇත.

මෙම ඉල්ලීම සලකා බලා, හැකි ඉක්මනින් මාරුව සිදු කරනු ඇතැයි බලාපොරොත්තු වෙමි.

ගෞරවයෙන්,

සේවක නම
සහකාර කළමනාකරු
සේවක අංකය: EMP12345","transfer,employee,family",4.0
CMP001,complaint,example,formal,si,synthetic,සේවා ප්‍රමාදය පිළිබඳ පැමිණිල්ල,"2026 ජනවාරි 12

කළමනාකරු මහතා,
පාරිභෝගික සේවා අංශය,
දුරකථන සමාගම,
කොළඹ 03.

ගරු මහත්මයාණෙනි,

මාතෘකාව: අන්තර්ජාල සේවා ප්‍රමාදය පිළිබඳ පැමිණිල්ල - ගිණුම් අංක: 123456789

2026 ජනවාරි 05 වන දින සිට මාගේ නිවසේ අන්තර්ජාල සේවාව ක්‍රියා විරහිත වී ඇති බව කනගාටුවෙන් දන්වා සිටිමි.

මම ඔබේ පාරිභෝගික සේවා අංකයට කිහිප වතාවක් ඇමතුම් ගත් නමුත්, තවමත් කිසිදු තාක්ෂණික නිලධාරියෙක් පැමිණ නොමැත. මෙය දැනටමත් සතියක් පමණ වී ඇති අතර, මාගේ වැඩ කටයුතු සඳහා අන්තර්ජාලය අත්‍යවශ්‍ය වේ.

එබැවින්, කඩිනමින් සේවාව යථා තත්වයට පත් කරන මෙන් සහ මෙම ප්‍රමාදය සඳහා සුදුසු වන්දියක් ලබා දෙන මෙන් ඉල්ලා සිටිමි.

ගෞරවයෙන්,

පාරිභෝගික නම
ලිපිනය: 123, ප්‍රධාන පාර, කොළඹ 05
දුරකථන: 011-1234567","complaint,service,delay,internet",4.2
APP001,application,example,formal,si,synthetic,රැකියා අයදුම්පත,"2026 ජනවාරි 08

මානව සම්පත් කළමනාකරු,
ABC Tech Solutions,
කොළඹ 02.

ගරු මහත්මයාණෙනි,

මාතෘකාව: මෘදුකාංග ඉංජිනේරු තනතුර සඳහා අයදුම්පත

ඔබේ සමාගමේ වෙබ් අඩවියේ ප්‍රකාශිත මෘදුකාංග ඉංජිනේරු තනතුර සඳහා අයදුම් කරන බව කාරුණිකව දන්වා සිටිමි.

මම කොළඹ විශ්වවිද්‍යාලයෙන් පරිගණක විද්‍යාව පිළිබඳ උපාධිය ලබා ඇති අතර, Python, Java සහ JavaScript භාෂාවන්හි වසර 3ක පළපුරුද්දක් ඇත. මීට අමතරව, AWS සහ Docker තාක්ෂණයන් පිළිබඳව ද දැනුමක් ලබා ඇත.

මීට පෙර, XYZ සමාගමේ මෘදුකාංග සංවර්ධක ලෙස වසර 2ක් සේවය කළ අතර, එහිදී කණ්ඩායම් ව්‍යාපෘති කිහිපයක් සාර්ථකව නිම කළෙමි.

මාගේ සම්පූර්ණ ජීව දත්ත පත්‍රිකාව සහ අදාළ සහතික පිටපත් මේ සමඟ අමුණා ඇත.

ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.

ගෞරවයෙන්,

අයදුම්කරුගේ නම
දුරකථන: 077-9876543
විද්‍යුත් තැපෑල: applicant@email.com","job,application,software,engineer",4.3
SEC001,general,section_template,formal,si,curated,විධිමත් ආමන්ත්‍රණ,"ගරු මහත්මයාණෙනි,
ගරු මහත්මිය,
ගරු තුමාණෙනි,
ගරු තුමිය,",greeting,
SEC002,general,section_template,formal,si,curated,විධිමත් අවසාන වාක්‍ය,"ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.
ගෞරවයෙන්,
විශ්වාසී,
බැතිමත්,",closing,
SEC003,request,section_template,formal,si,curated,ඉල්ලීම් වාක්‍ය ඛණ්ඩ,"කාරුණිකව ඉල්ලා සිටිමි.
ඉහත කරුණ සම්බන්ධයෙන් ඔබතුමාගේ අවධානය යොමු කරමි.
එබැවින් [ඉල්ලීම] කාරුණිකව ඉල්ලා සිටිමි.
මෙම කරුණ සලකා බලනු ඇතැයි බලාපොරොත්තු වෙමි.",request,
