id,letter_category,register,language,title,content
REQ001,request,formal,si,නිවාඩු ඉල්ලීමේ ලිපිය,"[දිනය]
කළමනාකරු මහතා,
[ආයතනයේ නම]
ගරු මහත්මයාණෙනි,

මාතෘකාව: වාර්ෂික නිවාඩු ඉල්ලීම - [දිනය] සිට [දිනය] දක්වා

ඉහත කරුණ සම්බන්ධයෙන් ඔබතුමාගේ අවධානය යොමු කරමි.

මාගේ පවුලේ වැදගත් කටයුත්තක් වෙනුවෙන් [දිනය] වන දින සිට [දිනය] වන දින දක්වා (දින 6ක්) වාර්ෂික නිවාඩු ලබා දෙන මෙන් කාරුණිකව ඉල්ලා සිටිමි.

මාගේ රාජකාරී කටයුතු අවසන් කර, අදාළ වගකීම් සේවක [නම] මහතාට භාර දී ඇති බව දන්වා සිටිමි.

ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.

ගෞරවයෙන්,

[නම]
[දුරකථන අංකය]"
REQ002,request,formal,si,මාරු ඉල්ලීමේ ලිපිය,"[දිනය]

අධ්‍යක්ෂ මහතා,
[ආයතනයේ නම].

ගරු මහත්මයාණෙනි,

මාතෘකාව: ශාඛා මාරුවීම් ඉල්ලීම

ඉහත කරුණ සම්බන්ධයෙන් ඔබතුමාගේ අවධානය යොමු කරමි.

මම දැනට කොළඹ ප්‍රධාන ශාඛාවේ සේවය කරන අතර, මාගේ පවුලේ සෞඛ්‍ය හේතූන් මත ගම්පහ ශාඛාවට මාරු වීමට කාරුණිකව ඉල්ලා සිටිමි.

මාගේ මව වයෝවෘද්ධ තත්වයේ සිටින අතර, ඇගේ සෞඛ්‍ය තත්වය නිසා මට ආසන්නව සිටීම අවශ්‍ය වී ඇත. ගම්පහ ශාඛාවට මාරු වීමෙන් මට රාජකාරී කටයුතු සමඟ පවුල් වගකීම් ද ඉටු කිරීමට හැකි වනු ඇත.

මෙම ඉල්ලීම සලකා බලා, හැකි ඉක්මනින් මාරුව සිදු කරනු ඇතැයි බලාපොරොත්තු වෙමි.

ගෞරවයෙන්,

[නම]
සහකාර කළමනාකරු
[සේවක අංකය]"
CMP001,complaint,formal,si,සේවා ප්‍රමාදය පිළිබඳ පැමිණිල්ල,"[දිනය]

කළමනාකරු මහතා,
[ආයතනයේ නම].

ගරු මහත්මයාණෙනි,

මාතෘකාව: අන්තර්ජාල සේවා ප්‍රමාදය පිළිබඳ පැමිණිල්ල - ගිණුම් අංක: [අංකය]

[දිනය] වන දින සිට මාගේ නිවසේ අන්තර්ජාල සේවාව ක්‍රියා විරහිත වී ඇති බව කනගාටුවෙන් දන්වා සිටිමි.

මම ඔබේ පාරිභෝගික සේවා අංකයට කිහිප වතාවක් ඇමතුම් ගත් නමුත්, තවමත් කිසිදු තාක්ෂණික නිලධාරියෙක් පැමිණ නොමැත. මෙය දැනටමත් සතියක් පමණ වී ඇති අතර, මාගේ වැඩ කටයුතු සඳහා අන්තර්ජාලය අත්‍යවශ්‍ය වේ.

එබැවින්, කඩිනමින් සේවාව යථා තත්වයට පත් කරන මෙන් සහ මෙම ප්‍රමාදය සඳහා සුදුසු වන්දියක් ලබා දෙන මෙන් ඉල්ලා සිටිමි.

ගෞරවයෙන්,

[නම]
[ලිපිනය]
[දුරකථන අංකය]"
APP001,application,formal,si,රැකියා අයදුම්පත,"[දිනය]

මානව සම්පත් කළමනාකරු,
[ආයතනයේ නම].

ගරු මහත්මයාණෙනි,

මාතෘකාව: මෘදුකාංග ඉංජිනේරු තනතුර සඳහා අයදුම්පත

ඔබේ සමාගමේ වෙබ් අඩවියේ ප්‍රකාශිත මෘදුකාංග ඉංජිනේරු තනතුර සඳහා අයදුම් කරන බව කාරුණිකව දන්වා සිටිමි.

මම [විශ්වවිද්‍යාලය] විශ්වවිද්‍යාලයෙන් පරිගණක විද්‍යාව පිළිබඳ උපාධිය ලබා ඇති අතර, Python, Java සහ JavaScript භාෂාවන්හි වසර 3ක පළපුරුද්දක් ඇත. මීට අමතරව, AWS සහ Docker තාක්ෂණයන් පිළිබඳව ද දැනුමක් ලබා ඇත.

මීට පෙර, [ආයතනයේ නම] මෘදුකාංග සංවර්ධක ලෙස වසර 2ක් සේවය කළ අතර, එහිදී කණ්ඩායම් ව්‍යාපෘති කිහිපයක් සාර්ථකව නිම කළෙමි.

මාගේ සම්පූර්ණ ජීව දත්ත පත්‍රිකාව සහ අදාළ සහතික පිටපත් මේ සමඟ අමුණා ඇත.

ඔබතුමාගේ කාරුණික සැලකිල්ල අපේක්ෂා කරමි.

ගෞරවයෙන්,

[නම]
[ලිපිනය]
[දුරකථන අංකය]"
INV001,invitation,formal,si,උත්සව ආරාධනා ලිපිය,"[දිනය]

ගරු සාමාජිකයෙනි,

මාතෘකාව: වාර්ෂික සම්මේලනය සඳහා ආරාධනා

ඔබතුමාව අපගේ 2026 වාර්ෂික සම්මේලනය සඳහා ආදරයෙන් ආරාධනා කරමි.

උත්සව විස්තර:
දිනය: [දිනය]
වේලාව: [වේලාව]
ස්ථානය: [ස්ථානය]
සැන්දෑ භෝජන:[වේලාව]

මෙම වසරේ මාතෘකාව 'නව යුගයක ආරම්භය' වන අතර, කර්මාන්තයේ ප්‍රමුඛ පෙළේ කථිකයන් සහභාගී වේ.

ඔබගේ සහභාගිත්වය තහවුරු කිරීම සඳහා [දිනය] දිනට පෙර අප හා සම්බන්ධ වන මෙන් කාරුණිකව ඉල්ලා සිටිමි.

ගෞරවයෙන්,

සංවිධායක
[ආයතනයේ නම]
[දුරකථන අංකය]"
APO001,apology,formal,si,ප්‍රමාද ක්ෂමා ඉල්ලීම,"[දිනය]

කළමනාකරු මහතා,
[ආයතනයේ නම].

ගරු මහත්මයාණෙනි,

මාතෘකාව: [දිනය] වන දින ප්‍රමාදය සම්බන්ධයෙන් ක්ෂමාව

[දිනය] වන දින මා රාජකාරියට පැමිණීමේ ප්‍රමාදය සම්බන්ධයෙන් කාරුණිකව ක්ෂමාව අයැද සිටිමි.

එදින මාර්ග තදබදයක් හේතුවෙන් මට නියමිත වේලාවට කාර්යාලයට පැමිණීමට නොහැකි විය. මෙවැනි තත්වයක් නැවත සිදු නොවන පරිදි, මින් ඉදිරියට කල්තියා නිවසින් පිටත්ව එන බවට පොරොන්දු වෙමි.

මෙම තත්වය අවබෝධ කර ගනු ඇතැයි බලාපොරොත්තු වෙමි.

ගෞරවයෙන්,

සේවක නම
සේවක අංකය:"
INV002,invitation,formal,si,වාර්ෂික ත්‍යාග ප්‍රදානෝත්සවය සඳහා ප්‍රධාන ආරාධිත අමුත්තා වශයෙන් සහභාගී වීමට ඇරයුම් කිරීම.,"[දිනය]

කලාප අධ්‍යාපන අධ්‍යක්ෂක තුමා,
කලාප අධ්‍යාපන කාර්යාලය,
[ලිපිනය].

ගරු මහත්මයාණෙනි,

මාතෘකාව: වාර්ෂික ත්‍යාග ප්‍රදානෝත්සවය සඳහා ප්‍රධාන ආරාධිත අමුත්තා වශයෙන් සහභාගී වීමට ඇරයුම් කිරීම.

[ආයතනයේ නම] මගින් සංවිධානය කරනු ලබන, පසුගිය වසර තුල  දක්ෂතා දැක්වූ සිසු දරු දැරියන් ඇගයීමේ වාර්ෂික ත්‍යාග ප්‍රදානෝත්සවය [දිනය] දින පෙවරු [වේලාව] ට [ස්ථානය] ශාලාවේදී පැවැත්වීමට කටයුතු සූදානම් කර ඇති අතර, මෙම උත්සවය සඳහා ඔබතුමාගේ සහභාගීත්වය  ගෞරවයෙන් අපේක්ෂා කරමු.

අධ්‍යාපනික මෙන්ම විෂය බාහිර ක්‍රියාකාරකම්වලින්ද විශිෂ්ට දක්ෂතා දැක්වූ ශිෂ්‍ය ශිෂ්‍යාවන් දිරිමත් කිරීම මෙහි ප්‍රධාන අරමුණයි. අප අධ්‍යාපන කලාපයේ ජ්‍යෙෂ්ඨ නිලධාරියෙකු වශයෙන්, ඔබතුමා මෙම අවස්ථාවට සහභාගී වීම අප පාසලේ දරු දැරියන්ට මෙන්ම ගුරු මණ්ඩලයට ද මහඟු ශක්තියක් සහ ආදර්ශයක් වනු නොඅනුමානය.

එබැවින්, එදින ප්‍රධාන ආරාධිත අමුත්තා වශයෙන් සහභාගී වී ජයග්‍රාහී සිසුන්ට ත්‍යාග සහ සහතික පිරිනැමීමට කාරුණික වන මෙන් ගෞරවයෙන් ආරාධනා කර  සිටිමු.  ඔබතුමාගේ පැමිණීම [දිනය] දිනට පෙර ස්ථිර කරන මෙන්  කාරුණිකව ඉල්ලා සිටිමු.

ඔබගේ සුබවාදී ප්‍රතිචාරය සහ පැමිණීම අප බෙහෙවින් අගය කොට සලකමු.

ස්තූතියි.

ගෞරවයෙන්,

ප්‍රධාන ගුරුතුමා/විදුහල්පති,
[ආයතනයේ නම]."
INV003,invitation,formal,si,ග්‍රාමීය සංවර්ධනය සහ යටිතල පහසුකම් පිළිබඳ සාකච්ඡා කෙරෙන විශේෂ රැස්වීම සඳහා සහභාගී වීමට ඇරයුම් කිරීම.,"[දිනය]

ප්‍රාදේශීය ලේකම් තුමා,
ප්‍රාදේශීය ලේකම් කාර්යාලය,
[ලිපිනය].

ගරු මහත්මයාණෙනි,

මාතෘකාව: ග්‍රාමීය සංවර්ධනය සහ යටිතල පහසුකම් පිළිබඳ සාකච්ඡා කෙරෙන විශේෂ රැස්වීම සඳහා සහභාගී වීමට ඇරයුම් කිරීම.

[ආයතනයේ නම] මගින් සංවිධානය කරනු ලබන වාර්ෂික ප්‍රජා සංවර්ධන මහා සභා රැස්වීම [දිනය] දින පෙවරු [වේලාව] ට [ස්ථානය] ශාලාවේදී පැවැත්වීමට කටයුතු යොදා ඇත. ප්‍රදේශයේ පවතින පොදු ගැටලු සහ ඉදිරි සංවර්ධන සැලසුම් පිළිබඳව ප්‍රදේශවාසීන් දැනුවත් කිරීම සහ තීරණ ගැනීම මෙම රැස්වීමේ ප්‍රධාන අරමුණ වේ. 
  
ග්‍රාමීය මට්ටමින් ක්‍රියාත්මක වන සංවර්ධන ව්‍යාපෘති සඳහා රාජ්‍ය අංශයේ සෘජු දායකත්වය සහ මගපෙන්වීම අත්‍යවශ්‍ය වන බැවින්, මෙම අවස්ථාවට ප්‍රදේශයේ ප්‍රධාන පරිපාලන නිලධාරියා වශයෙන් ඔබතුමාගේ සහභාගීත්වය අප බෙහෙවින් අගය කොට සලකමු. ඔබතුමාගේ වටිනා අදහස් සහ උපදෙස් ගම්වාසීන්ගේ පොදු සුභසිද්ධිය උදෙසා මහත් පිටුවහලක් වනු නොඅනුමානය.

එබැවින්, කාර්යබහුල රාජකාරි මධ්‍යයේ වුවද එදින මෙම විශේෂ රැස්වීමට සහභාගී වන ලෙස කාරුණිකව ඉල්ලා සිටිමු.

ඔබගේ සුබවාදී ප්‍රතිචාරය අප බෙහෙවින් අගය කොට සලකමු.

ස්තූතියි.

මෙයට විශ්වාසී,

සභාපති තුමා,
ග්‍රාම සංවර්ධන සමිතිය,
[ස්ථානය]."
INV004,invitation,formal,si,වාර්ෂික සංඝගත දානමය පින්කමේ මුලසුන හෙබවීම සඳහා ආරාධනා කිරීම,"[දිනය]

ගරු නායක ස්වාමීන් වහන්සේ,
[ආයතනය/පිරිවෙන],
[ලිපිනය].

ගරුතර ස්වාමීන් වහන්ස,

මාතෘකාව: වාර්ෂික සංඝගත දානමය පින්කමේ මුලසුන හෙබවීම සඳහා ආරාධනා කිරීම.

[ආයතනයේ නම] විහාරස්ථ දායක සභාව සහ ගම්වාසීන් විසින් සංවිධානය කරනු ලබන වාර්ෂික පුණ්‍ය මහෝත්සවයට සමගාමීව පැවැත්වෙන මහා සංඝගත දානමය පින්කම [දිනය] දින පස්වරු [වේලාව] ට [ස්ථානය] විහාරස්ථානයේදී පැවැත්වීමට කටයුතු සම්පාදනය කර ඇත. මෙම උදාර පින්කමෙහි මුලසුන හෙබවීම සඳහා ඔබ වහන්සේට ඉතා ගෞරවයෙන් ආරාධනා කර සිටිමු.

ගම්වාසීන්ගේ සහ විහාරස්ථ දායක කාරකාදීන්ගේ ආධ්‍යාත්මික සුවය උදෙසාත්, මියගිය ඥාතීන්ට පින් අනුමෝදන් කිරීම උදෙසාත් පවත්වනු ලබන මෙම පින්කමෙහිදී, අනුශාසනාවක් පවත්වා පින්කම මෙහෙයවන ලෙස ඔබ වහන්සේගෙන් කාරුණිකව ඉල්ලා සිටිමු. ඔබ වහන්සේ වැනි වියත් ධර්මධර මහා සංඝරත්නයකගේ වැඩමවීම අප විහාරස්ථානයට මෙන්ම මුළු මහත් ප්‍රදේශයටම මහත් ආශිර්වාදයක් වනු  ඇත.

එබැවින්, නියමිත දින සහ වේලාවට [ස්ථානය] විහාරස්ථානය වෙත වැඩම කර අප කෙරෙහි අනුකම්පාවෙන් මෙම පින්කම සාර්ථක කර දෙන ලෙස ශාසනාලැදියෙන් යුතුව ආරාධනා කර සිටිමු. වැඩමවීම පිළිබඳ ස්ථිර පණිවුඩය [දිනය] දිනට පෙර දායක සභාව වෙත දන්වා එවන්නේ නම් එය අපගේ කටයුතු සම්පාදනය කර ගැනීමට මහත් පහසුවක් වනු ඇත.

ඔබ වහන්සේට නිදුක් නිරෝගී සුවය ප්‍රාර්ථනා  කර සිටිමු .

තෙරුවන් සරණයි.

මෙයට, ශාසනාලැදි,

සභාපති තුමා / ලේකම් තුමා,
විහාරස්ථ දායක සභාව,
[ස්ථානය]."
THN001,thank-you,formal,si,වාර්ෂික උත්සවයේ ආරාධිත දේශකයා ලෙස සහභාගී වීම සම්බන්ධයෙන් ස්තූතිය පිරිනැමීම.,"[දිනය]

[ලබන්නාගේ තනතුර],
[ආයතනය/පිරිවෙන],
[ලිපිනය].

ගරු මහත්මයාණෙනි,

මාතෘකාව: වාර්ෂික උත්සවයේ ආරාධිත දේශකයා ලෙස සහභාගී වීම සම්බන්ධයෙන් ස්තූතිය පිරිනැමීම.

[ආයතනයේ නම] මගින් සංවිධානය කරන ලද වාර්ෂික මහා සභා රැස්වීම සහ ප්‍රජා සත්කාරක වැඩසටහන [දිනය] දින [ස්ථානය] ශාලාවේදී අති සාර්ථක අන්දමින්  පවත්වනු ලැබූ අතර, එම සුවිශේෂී අවස්ථාවට අපගේ ආරාධනය පිළිගෙන ප්‍රධාන ආරාධිත දේශකයා වශයෙන් සහභාගී වීම පිළිබඳව [ආයතනයේ නම] වෙනුවෙන් ඔබතුමා වෙත අපගේ හෘදයාංගම ස්තූතිය මෙයින් පුද කර සිටිමු.

එදින ඔබතුමා විසින් පවත්වන ලද [විෂය පථය] පිළිබඳ දේශනය ඉතා කාලෝචිත මෙන්ම අතිශය වැදගත් කරුණු රාශියකින් සමන්විත විය. ඔබතුමා සතු ගැඹුරු දැනුම සහ පළපුරුද්ද ඇසුරෙන් ඉදිරිපත් කළ අදහස්, එදින එම ස්ථානයට රැස්ව සිටි සියලු දෙනාගේ පැසැසුමට ලක් වූ අතර, ඔවුන්ගේ ඉදිරි කටයුතු වඩාත් විධිමත් කර ගැනීමටත් මහඟු පිටුවහලක් වූ බව සියලු දෙනාගේ අදහස විය.

ඔබ වැනි කාර්යබහුල විද්වතෙකු අපගේ ආරාධනයට ගරු කරමින්, ලබා දුන් ඒ විශිෂ්ට දායකත්වය අප ඉතා ඉහළින් අගය කොට සලකන අතර, මෙම දේශනය අප සංගමයේ ඉතිහාසයේ සුවිශේෂී සන්ධිස්ථානයක් ලෙස සටහන් වන බව ද ප්‍රකාශ කිරීමට කැමැත්තෙමු.

ඉදිරියටත් ඔබතුමාගේ මෙවැනිම සහයෝගය සහ මගපෙන්වීම අප සංගමය වෙත ලැබෙනු ඇතැයි අපි මහත් සේ බලාපොරොත්තු වෙමු. ඔබතුමාගේ සියලු කටයුතු සර්වප්‍රකාරයෙන්ම සාර්ථක වේවායි අපි ප්‍රාර්ථනා කරමු.

ස්තූතියි.

ගෞරවයෙන්,

සභාපති තුමා,
[ආයතනයේ නම]."
